BASE_YEAR,PLAYER_NO,PLAYER_NM,PLAYER_GRAD_NM,PRACE_TME_CO,PRACE_DE_CO,N1R_NCNT,N1R_VICTRY_RT,N2R_NCNT,YUNDAE_RT,N3R_NCNT,THREE_YUNDAE_RT,N4R_NCNT,N5R_NCNT,N6R_NCNT,N7R_NCNT,N8R_NCNT,N9R_NCNT,DSQLFC_CO,FELOFF_ABANDN_VALUE,DEFECT_ABANDN_VALUE,PN_AFLTION_NM,PRECDNG_N1CK_NCNT,OVRTK_N1CK_NCNT,EXCD_N1CK_NCNT,DEFNS_N1CK_NCNT,WARN_NCNT,ATENT_NCNT,EVL_SCORE,GEAR_MULTIP_VALUE,TOT_RANK_CO
"1999","19980024","정성오","S2","15","45","18","40","5","51","5","0","2","3","5","7","0","0","0","0","0","5/1",,,,,,,,,
"1999","19980027","강병철","A1","16","43","10","23","9","44","3","0","8","6","5","2","0","0","0","2","0","5/1",,,,,,,,,
"1999","19980031","여민호","S1","15","45","3","7","8","24","13","0","11","4","4","2","0","0","0","0","0","5/1",,,,,,,,,
"1999","19980035","임  섭","A2","14","48","9","19","8","35","7","0","7","8","2","7","0","0","0","0","0","5/1",,,,,,,,,
"1999","19980044","주효진","B1","15","43","4","9","5","21","7","0","6","7","7","7","0","0","1","0","0","5/1",,,,,,,,,
"1999","19980046","이동기","S1","16","45","8","18","15","51","7","0","5","4","5","1","0","0","1","0","0","5/1",,,,,,,,,
"1999","19970053","신영극","A1","13","48","6","13","5","23","6","0","12","2","10","7","0","0","0","0","0","4/1",,,,,,,,,
"1999","19940051","신양우","A1","14","46","11","24","8","41","6","0","4","4","7","6","0","0","1","0","0","1/1",,,,,,,,,
"2000","19980044","주효진","A1","14","42","17","40","5","52","5","0","5","4","4","2","0","0","0","0","0","5/1",,,,,,,,,
"2000","19970053","신영극","A2","13","39","3","8","10","33","4","0","6","5","6","3","0","0","2","1","0","4/1",,,,,,,,,
"2000","19970046","박동수","A1","15","43","9","21","9","42","3","0","7","6","5","2","0","0","1","1","0","4/1",,,,,,,,,
"2000","19970020","배학성",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4/1",,,,,,,,,
"2000","20000054","정언열","A2","2","6","1","17","1","33","1","0","0","1","1","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000053","현병철","S1","2","6","6","100","0","100","0","0","0","0","0","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000048","이창희","A2","3","9","0","0","1","11","1","0","3","2","0","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000047","엄재천",,"3","9","3","33","0","33","2","0","0","0","2","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000046","권언호",,"2","6","0","0","3","50","1","0","0","1","0","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000044","유일선","A2","3","9","0","0","0","0","1","0","5","1","0","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000043","이유진","A1","4","12","2","17","3","42","4","0","1","2","0","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000038","임형윤","A2","2","6","1","17","1","33","2","0","0","1","1","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000036","노하승","S2","3","9","5","56","3","89","0","0","0","0","0","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000035","최병길","A2","3","9","2","22","1","33","3","0","0","0","1","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000034","정찬건","B1","3","9","2","22","2","44","1","0","0","1","1","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000030","김기욱","A1","2","6","2","33","0","33","1","0","1","2","0","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000029","이흥주","B1","3","9","3","33","1","44","4","0","1","0","0","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000028","이정민","A2","3","9","2","22","4","67","1","0","0","1","0","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000026","고광종","A2","2","6","0","0","2","33","2","0","0","1","0","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000024","김광진","B2","2","6","0","0","0","0","1","0","1","0","1","2","0","0","0","1","0","7/1",,,,,,,,,
"2000","20000022","조영소","B1","2","6","2","33","0","33","0","0","1","1","2","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000020","정  관","B2","2","6","0","0","3","50","0","0","0","3","0","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000018","이규봉","A1","3","9","0","0","1","11","2","0","3","0","2","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000015","권정국",,"2","6","1","17","1","33","0","0","2","0","0","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000010","안성민","B1","3","9","2","22","0","22","2","0","1","2","1","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000009","오성균","B2","2","6","0","0","2","33","1","0","0","1","2","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000005","김상민",,"3","9","0","0","0","0","2","0","2","2","2","1","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000004","김영규",,"3","9","1","11","1","22","0","0","2","3","0","2","0","0","0","0","0","7/1",,,,,,,,,
"2000","20000002","최용진","A2","2","6","1","17","1","33","3","0","0","0","1","0","0","0","0","0","0","7/1",,,,,,,,,
"2000","19990043","이한성","S2","15","45","20","44","3","51","7","0","5","2","4","4","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990041","강동국",,"13","39","4","10","6","26","5","0","5","7","8","4","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990040","김진수","A1","14","40","25","63","2","68","4","0","4","2","1","1","0","0","0","1","0","6/1",,,,,,,,,
"2000","19990032","민상호","A2","14","42","5","12","10","36","5","0","11","4","2","5","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990028","윤영수","A1","14","41","13","32","11","59","5","0","3","3","2","4","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990026","박진우","S1","14","44","20","45","7","61","5","0","3","3","3","3","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990024","조왕우","B1","14","42","7","17","11","43","4","0","7","4","4","5","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990017","김지은","A2","15","44","5","11","8","30","6","0","7","10","4","3","0","0","0","1","0","6/1",,,,,,,,,
"2000","19990016","곽광상","A2","14","42","10","24","10","48","8","0","3","5","1","5","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990013","한지혁","S2","14","42","20","48","7","64","2","0","6","4","2","1","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990011","정영훈","S1","14","43","7","16","14","49","4","0","7","4","7","0","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990010","정점식","S1","16","46","12","26","8","43","3","0","9","5","5","2","0","0","1","2","0","6/1",,,,,,,,,
"2000","19990008","박종현","S2","15","46","6","13","19","54","9","0","5","1","3","3","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990007","송대호","A1","16","48","8","17","6","29","6","0","11","5","5","7","0","0","0","0","0","6/1",,,,,,,,,
"2000","19990006","지성환","S1","10","29","28","97","1","100","0","0","0","0","0","0","0","0","0","0","0","6/1",,,,,,,,,
"2000","19980046","이동기","S1","15","45","8","18","12","44","6","0","8","3","6","2","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980035","임  섭","S2","15","44","6","14","5","25","4","0","10","7","7","5","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980031","여민호","S1","14","42","9","21","13","52","8","0","2","3","3","4","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980027","강병철","S1","16","48","5","10","3","17","12","0","11","8","7","2","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980024","정성오","A1","15","44","10","23","3","30","7","0","4","4","4","12","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980023","서인원","S2","14","44","2","5","8","23","8","0","10","4","5","5","0","0","1","1","0","5/1",,,,,,,,,
"2000","19980022","김경태","B1","15","45","2","4","2","9","14","0","7","11","6","3","0","0","0","0","0","5/1",,,,,,,,,
"2000","19980013","박창순","B1","15","44","13","30","9","50","9","0","1","3","4","4","0","0","0","1","0","5/1",,,,,,,,,
"2000","19980001","서동방","B1","14","42","6","14","6","29","3","0","12","5","9","1","0","0","0","0","0","5/1",,,,,,,,,
"2000","19970016","홍미웅","S2","15","47","1","2","3","9","14","0","9","11","5","4","0","0","0","0","0","4/1",,,,,,,,,
"2000","19970015","김규봉","S2","16","47","15","32","7","47","3","0","9","5","2","6","0","0","0","0","0","4/1",,,,,,,,,
"2000","19970010","남태희","S2","15","44","9","20","2","25","3","0","7","3","12","8","0","0","0","0","0","4/1",,,,,,,,,
"2000","19970006","윤진철","S1","15","45","7","16","10","38","11","0","5","5","4","2","0","0","0","0","1","4/1",,,,,,,,,
"2000","19970002","주광일","S1","13","37","30","81","1","84","2","0","2","0","0","1","0","0","1","0","0","4/1",,,,,,,,,
"2000","19960041","임병창","S2","15","45","12","27","9","47","5","0","1","6","8","4","0","0","0","0","0","3/1",,,,,,,,,
"2000","19960034","최수용",,"14","44","8","18","5","30","7","0","6","6","7","5","0","0","0","0","0","3/1",,,,,,,,,
"2000","19960024","용석길","S1","15","45","26","58","11","82","2","0","2","1","2","0","0","0","0","1","0","3/1",,,,,,,,,
"2000","19960002","김우병","B1","14","41","6","15","4","24","7","0","2","4","10","8","0","0","0","0","0","3/1",,,,,,,,,
"2000","19950069","최항진","B1","14","42","9","21","6","36","9","0","9","5","0","4","0","0","0","0","0","2/1",,,,,,,,,
"2000","19950053","정덕이","S1","13","40","11","28","5","40","6","0","3","9","3","1","0","0","1","2","0","2/1",,,,,,,,,
